gender,age,marital_status,education,nb_depend_child,employ_status,yrs_current_job,yrs_employed,net_income,spouse_work,spouse_income,residential_status,yrs_current_address,product,purchase
M,29,married,basic,1,part_time,1,5,12750,yes,37640,owner,9,derivatives,yes
M,21,single,basic,0,self_employ,2,2,25500,no,0,w_parents,5,stocks,yes
F,21,married,highsch,0,part_time,1,2,19125,yes,48968,tenant,5,bonds,yes
M,30,divorced,basic,0,full_time,1,6,31875,no,0,tenant,12,bonds,no
M,30,widowed,postgrad,1,full_time,3,8,127500,no,0,tenant,1,bonds,yes
F,38,married,highsch,0,full_time,4,11,47813,yes,54984,owner_morg,4,stocks,no
F,43,divorced,postgrad,2,full_time,8,18,127500,no,0,owner,12,bonds,yes
M,21,married,basic,1,self_employ,0,1,25500,yes,47028,owner_morg,6,derivatives,yes
M,20,single,highsch,0,part_time,0,1,19125,no,0,w_parents,6,derivatives,yes
M,38,single,basic,0,full_time,2,7,31875,no,0,tenant,10,stocks,no
M,26,divorced,highsch,1,self_employ,2,4,38250,no,0,tenant,2,derivatives,yes
M,30,divorced,univ,2,unemployed,0,1,0,no,0,owner_morg,2,bonds,yes
M,62,married,univ,2,self_employ,8,8,111563,no,0,tenant,8,derivatives,no
M,25,single,univ,0,full_time,2,3,53125,no,0,tenant,9,derivatives,yes
M,25,divorced,univ,2,part_time,0,6,31875,no,0,tenant,5,stocks,yes
M,72,widowed,univ,0,unemployed,0,38,0,no,0,owner,4,bonds,no
F,30,married,postgrad,3,part_time,3,8,76500,yes,49064,owner,12,stocks,no
F,21,divorced,highsch,1,self_employ,0,2,38250,no,0,tenant,5,derivatives,no
M,41,widowed,highsch,0,unemployed,0,9,0,no,0,owner,7,bonds,no
F,31,single,highsch,0,self_employ,5,5,57375,no,0,owner_morg,14,derivatives,no
M,22,single,basic,0,full_time,1,1,21250,no,0,tenant,8,bonds,no
F,46,married,univ,0,self_employ,13,22,95625,yes,70554,tenant,9,stocks,no
F,22,single,highsch,0,self_employ,0,2,38250,no,0,tenant,6,derivatives,no
M,31,married,basic,0,part_time,7,9,19125,yes,19150,owner,1,derivatives,yes
F,50,divorced,postgrad,2,full_time,9,12,148750,no,0,tenant,7,derivatives,no
F,31,single,univ,0,part_time,1,7,47813,no,0,tenant,2,derivatives,no
M,33,single,basic,0,full_time,1,10,31875,no,0,tenant,5,bonds,no
F,42,divorced,highsch,0,part_time,3,3,28688,no,0,owner_morg,13,derivatives,no
F,27,single,highsch,0,part_time,4,6,19125,no,0,tenant,2,stocks,yes
F,20,divorced,highsch,1,full_time,0,2,31875,no,0,tenant,7,derivatives,no
M,26,single,univ,0,self_employ,2,6,63750,no,0,tenant,10,bonds,no
M,27,divorced,highsch,2,part_time,0,0,19125,no,0,owner,10,bonds,yes
M,63,widowed,highsch,0,full_time,13,21,55781,no,0,tenant,10,bonds,no
M,41,single,postgrad,0,full_time,4,6,127500,no,0,tenant,6,derivatives,yes
F,52,single,highsch,0,unemployed,0,14,0,no,0,tenant,13,stocks,no
M,33,married,univ,1,unemployed,0,1,0,yes,42686,tenant,11,derivatives,yes
M,24,divorced,highsch,0,full_time,2,2,31875,no,0,tenant,4,bonds,no
F,50,divorced,basic,2,self_employ,10,15,44625,no,0,owner,3,derivatives,no
F,22,single,univ,0,unemployed,0,2,0,no,0,tenant,5,stocks,yes
M,45,divorced,postgrad,0,full_time,1,11,127500,no,0,owner,11,bonds,no
F,34,married,highsch,2,self_employ,5,10,57375,yes,48399,owner,11,stocks,no
F,43,widowed,highsch,0,full_time,6,20,47813,no,0,tenant,9,derivatives,yes
M,22,divorced,basic,0,full_time,2,2,21250,no,0,tenant,5,derivatives,yes
F,38,married,univ,2,self_employ,0,13,95625,yes,71595,tenant,1,derivatives,yes
M,54,single,highsch,0,unemployed,0,1,0,no,0,owner,2,stocks,no
F,22,divorced,basic,1,self_employ,1,1,25500,no,0,tenant,6,stocks,no
M,25,single,basic,0,full_time,0,2,21250,no,0,tenant,5,derivatives,no
M,42,single,highsch,0,full_time,8,18,47813,no,0,owner,15,stocks,no
